企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
彭州市九尺经济区供销合作社,91510182MA61T5D03J,1981-01-07,集体所有制,谭延清,"81.7万人民币","批发、零售：化肥、农用薄膜、不再分装的袋装种子、农药",四川,成都,"成都市彭州市九尺镇兴隆街102号"
成都铁路兴达建筑公司,91510100201938724R,1981-01-08,N/A,苟康仁,"3,000(万元人民币)","房屋建筑、维修，室内外装饰工程的设计、施工；钢结构工程施工，网架工程的制作、安装；房地产开发，环保工程，园林古建筑工程，铁路工程，防腐保温工程，市政公用工程，建筑装饰装修工程；以下范围限分支机构经营：住宿、中餐、普通食品销售、美容美发。",四川,成都,"成都市金牛区站西桥西巷1号"
自贡宏鑫特种橡胶密封有限公司,91510300620715023A,1981-01-08,N/A,黄元平,"80(万元人民币)","制造机械密封件、橡胶密封件、特种橡胶密封制品、氟塑料制品、碳石墨密封件、包装木箱、精加工。",四川,自贡,"自贡市汇东新区汇东路东段217号"
成都龙祥投资实业有限公司,91510100201937238K,1981-01-10,N/A,赵雪林,"3,000(万元人民币)","实业投资",四川,成都,"成都市外北成彭路19号"
四川省甘洛县食品有限责任公司,91513435213750737E,1981-01-22,N/A,呷呷热布,"67(万元人民币)","生猪屠宰；猪肉、副食品、糖酒销售。",四川,凉山,"甘洛县团结南街商业巷"
成都市青白江区城厢供销社祥福分社,91510113902282772J,1981-01-30,集体分支机构(非法人),王文勇,"N/A","农业生产资料。针纺织品、百货、五金交电、日用杂货、农副产品",四川,成都,"成都市青白江区祥福镇场镇"
成都市机电设备总公司,9151010020190513X9,1981-02-25,N/A,李智,"580(万元人民币)","仅供清理债权债务。",四川,成都,"成都市锦江区古卧龙街10号成物大厦四楼13房"
成都市新津县第八建筑工程公司,91510132720339483M,1981-02-28,N/A,郭维君,"1,063(万元人民币)","土木工程；建筑装饰装修工程；电力线路安装、管道安装；钢结构工程；建筑防水工程；堤坊工程；房屋建筑工程；高耸建筑物工程；水利水电工程；园林古建筑工程；公路工程；道路与桥梁工程；市政公用工程；机电安装工程；水泥预制构件销售",四川,成都,"成都市新津县太平场"
中国四川国际合作股份有限公司,91510000201810296R,1981-02-28,N/A,汪浩,"16,430.6800(万元人民币)","承包国内外各种工程建设项目；承担资源勘察，地图测绘，地图勘察，技术经济咨询，招标，人员培训业务；提供工程、生产和服务性劳务；房地产开发；承担我国对外援助和国际双边、多边援助合作项目；开展技术合作、新产品和技术进出口业务；经营省内三类进出口商品；办理“三来一补”，对外经济技术项目所需的物资和出口业务；其他能够承担的各种国际经济技术合作业务；批发、零售建筑材料（不含危险化学品），五金，交电，化工原料及产品，机械电子设备，金属材料",四川,成都,"成都市永兴巷15号"
四川万春建筑工程有限公司,91510115709244010F,1981-03-07,N/A,周先成,"5,080(万元人民币)","房屋建筑工程；市政公用工程。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。",四川,成都,"成都市温江区柳城春凫街19号"
成都市青白江区燃料建材石油公司,91510113621884304L,1981-03-30,N/A,吴杰,"154.9100(万元人民币)","销售：石油制品(不含危险品及限制类)、钢材、建筑材料、化工产品（不含危险品）、家电、五金、机电机具、日杂百货、农副产品（不含限制类）",四川,成都,"成都市青白江区红阳华金大道二段660号"
四川鸥鹏建筑工程公司,915101122022441269,1981-05-07,N/A,谢合勇,"8,000(万元人民币)","房屋建筑工程，公路、铁路、市政公用、机电安装工程施工、建筑装饰装修、水利水电工程、钢结构工程、土石方工程、园林古建筑、城市及道路照明、消防设施工程施工、安全防范报警工程施工设计。项目投资及管理；房地产中介服务；工程管理服务；机械租赁；建筑辅料、建筑五金零售；房屋拆除服务；劳务派遣(依法须经批准的项目，经相关部门批准后方可开展经营活动；未取得相关行政许可",四川,成都,"四川省成都市龙泉驿区龙泉镇鸥鹏大道66号"
四川荭星建筑工程有限公司,915120812068597186,1981-06-01,N/A,华鑫,"2,260(万元人民币)","房屋建筑工程、公路工程、港口与航道工程、水利水电工程、电力工程、化工石油工程、市政公用工程、通信工程、机电安装工程、地基与基础工程、土石方工程、建筑装修装饰工程、建筑幕墙工程、园林古建筑工程、钢结构工程、电梯安装工程、消防设施工程、建筑防水工程、防腐保温工程、金属门窗工程、机电设备安装工程、建筑智能化工程、环保工程、通航建筑工程、公路路面工程、公路路基工程、公路交通工程、水利水电机电设备安装工程、河湖整治工程、堤防工程、水工大坝工程、送变电工程、机场场道工程、化工石油设备管道安装工程、管道工程，房屋拆迁及委托拆迁。批发、零售：建材。",四川,成都,"简阳市东城新区雄洲大道A2段（东湖胜景15号楼）"
四川省简阳市红塔建设集团有限公司,9151208120686156XY,1981-06-01,N/A,刘中洋,"5,866(万)","房屋建筑工程施工总承包二级。市政公用工程施工总承包三级。装饰工程施工，沼气工程施工，金属门窗制作安装，水泥生产，回收废弃资源材料。土地整理。",四川,成都,"简阳市简城镇五友路一段5号"
