企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
山西省孝义市塑料厂,91141181MA0H7MB94P,1981-01-01,集体所有制,张万宏,"970万人民币","塑料丝、绳及编织制造。塑料薄膜制造。",山西,吕梁,"山西省吕梁孝义市新城大众路,"
太原市土产日杂公司土产批发部,9114010663015395X2,1981-01-01,N/A,满富宝,"41.2000(万)","民用建材,日用杂品",山西,太原,"太原市迎泽区双塔北路22号"
山西省孝义市皮鞋厂,91141181MA0H7GFQ2K,1981-01-01,集体所有制,王彰,"26万人民币","制鞋。维修汽车逢套、装具、家俱、服装、床上用品、日杂(烟花爆竹除外)、房屋租赁。",山西,吕梁,"吕梁孝义市新城府南路八号"
山西省朔州市矿业公司工商贸易公司,91140624111830867B,1981-01-01,N/A,冯利波,"77.7万人民币元","零售:纺织品(含批发)、五金电工器材零售:汽车配件、通用设备配件;装卸货物;机电修理;零售汽油、柴油、润滑油(分支机构经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山西,朔州,"朔州怀仁县通泰路"
怀仁县装卸搬运公司,91140624111830824X,1981-01-01,N/A,刘志君,"136.6000(万)","装卸（依法须经批准的项目，经相关部门批准后方可开展经营活动）",山西,朔州,"朔州怀仁县大同路21号"
山西省长治县土产日杂公司,911404211108710261,1981-01-02,N/A,刘永刚,"62(万)","日用杂品批发零售；钢木家具、烟花类（C、D级）、爆竹类",山西,长治,"长治县城关新建路71号"
高平市电影发行放映公司,911405811113505565,1981-01-14,N/A,苏雪峰,"128(万)","批零：电影器材、房屋出租。电影放映、电影发行。",山西,晋城,"山西省晋城市高平市长平西街4号"
翼城县王庄供销社北冶分销店,91141022MA0GRFFN3J,1981-01-15,集体分支机构(非法人),刘文学,"N/A","经销:烟、预包装食品、散装食品（含婴幼儿配方乳粉）、百货、针纺织品、茶、化肥，收购:农副土特产品",山西,临汾,"山西省临汾市翼城县王庄乡北冶村"
山西省忻州市建筑工程总公司,91140900111862631N,1981-02-28,N/A,刘光良,"2,072(万)","房屋建筑工程施工总承包（贰级）；机电设备安装及混凝土预制构件专业承包",山西,忻州,"忻州忻府区云中南路48号"
大同煤矿王村实业公司,91140200110415805M,1981-02-28,N/A,张少为,"390(万)","普通货运（凭有效许可证经营）；矿用设备加工及维修五金交电、基建维修；机电修理（不含汽车修理）制砖种殖劳务（依法须经批准的项目，经相关部门批准后方可开展经营活动）",山西,大同,"山西省大同市矿区王村矿"
忻州市忻府区建筑安装工程总公司,911409021118949595,1981-03-05,N/A,赵炜,"614.2000(万)","土木工程建筑。水泥预制构件制造。零售：沥青、油毡、油漆、建筑五金、日用百货。建筑装璜。自有房屋、场地租赁服务；建筑装饰业。",山西,忻州,"忻州市忻府区利民街7号"
怀仁市何家堡供销社全福宅分销店,91140624MA0GUE5W74,1981-03-11,集体分支机构(非法人),曹玉婷,"N/A","零售:百货，纺织品，五金电工器材、零售:预包装食品、散装食品（酒、副食）、收购农副产品（不含玉米）、废品（依法须经批准的项目，经相关部门批准后方可开展经营活动）*",山西,朔州,"怀仁市全福宅村"
阳泉矿区百货大楼有限公司,91140303110570178U,1981-05-09,N/A,吴增山,"228.6500(万)","批发、零售日用百货、针纺织品、文化用品、钟表眼镜、服装鞋帽、五金交电、照相器材、家用电器、家具日杂、洗涤化妆品、金银首饰品，服装带料加工，场地租赁，钟表、家电维修，照相",山西,阳泉,"阳泉矿区桃北中路1号(四矿口)"
山西煤炭进出口集团有限公司,91140000110014569B,1981-05-09,N/A,赵建泽,"200,000(万元)","煤炭、矿产品、金属材料、有色金属、化工产品（危险品除外）、工业盐、农副产品、橡胶制品、钢材、建材、五金交电、塑料制品、机电产品、机械设备的销售；发供电；进出口业务（除国家统一经营以外的商品和技术）；种植业、养殖业；技术开发与服务；电子商务、节能环保、节能技术服务；普通仓储；矿产资源开采：煤炭开采；煤炭加工（精煤、焦炭、动力煤及煤化工产品等）；投资煤炭、焦炭、煤化工生产、贸易型企业等；外事咨询服务；房地产开发；批发零售日用百货；酒店管理、住宿、餐饮服务、自有房屋租赁、会展会务服务、汽车租赁、保健、美容美发",山西,太原,"太原市长风街115号"
芮城县大王供销社五交化门市部,91140830MA0GRMTU9K,1981-07-01,集体分支机构(非法人),苏革选,"N/A","零售:五金、交电、装璜材料、民用建材、中小农具、日杂。",山西,运城,"芮城县大王镇"
